tube_id,layer_id,sector_id,x,y,z,inner_radius,outer_radius,tube_length,angle,skewed
236,2,1,-18.3684,7.575,35,0.5,0.501,150,0,0
237,2,1,-18.3684,6.565,35,0.5,0.501,150,0,0
238,2,1,-18.3684,5.555,35,0.5,0.501,150,0,0
239,2,1,-18.3684,4.545,35,0.5,0.501,150,0,0
240,2,1,-18.3684,3.535,35,0.5,0.501,150,0,0
241,2,1,-18.3684,2.525,35,0.5,0.501,150,0,0
242,2,1,-18.3684,1.515,35,0.5,0.501,150,0,0
243,2,1,-18.3684,0.505,35,0.5,0.501,150,0,0
244,2,1,-18.3684,-0.505,35,0.5,0.501,150,0,0
245,2,1,-18.3684,-1.515,35,0.5,0.501,150,0,0
246,2,1,-18.3684,-2.525,35,0.5,0.501,150,0,0
247,2,1,-18.3684,-3.535,35,0.5,0.501,150,0,0
248,2,1,-18.3684,-4.545,35,0.5,0.501,150,0,0
249,2,1,-18.3684,-5.555,35,0.5,0.501,150,0,0
250,2,1,-18.3684,-6.565,35,0.5,0.501,150,0,0
251,2,1,-18.3684,-7.575,35,0.5,0.501,150,0,0
252,2,1,-18.3684,-8.585,35,0.5,0.501,150,0,0
253,2,1,-18.3684,-9.595,35,0.5,0.501,150,0,0
254,2,2,-18.3684,-10.605,35,0.5,0.501,150,0,0
255,2,2,-17.4937,-11.11,35,0.5,0.501,150,0,0
256,2,2,-16.619,-11.615,35,0.5,0.501,150,0,0
257,2,2,-15.7443,-12.12,35,0.5,0.501,150,0,0
258,2,2,-14.8697,-12.625,35,0.5,0.501,150,0,0
259,2,2,-13.995,-13.13,35,0.5,0.501,150,0,0
260,2,2,-13.1203,-13.635,35,0.5,0.501,150,0,0
261,2,2,-12.2456,-14.14,35,0.5,0.501,150,0,0
262,2,2,-11.3709,-14.645,35,0.5,0.501,150,0,0
263,2,2,-10.4962,-15.15,35,0.5,0.501,150,0,0
264,2,2,-9.62154,-15.655,35,0.5,0.501,150,0,0
265,2,2,-8.74686,-16.16,35,0.5,0.501,150,0,0
266,2,2,-7.87217,-16.665,35,0.5,0.501,150,0,0
267,2,2,-6.99749,-17.17,35,0.5,0.501,150,0,0
268,2,2,-6.1228,-17.675,35,0.5,0.501,150,0,0
269,2,2,-5.24811,-18.18,35,0.5,0.501,150,0,0
270,2,2,-4.37343,-18.685,35,0.5,0.501,150,0,0
271,2,2,-3.49874,-19.19,35,0.5,0.501,150,0,0
272,2,2,-2.62406,-19.695,35,0.5,0.501,150,0,0
273,2,3,2.62406,-19.695,35,0.5,0.501,150,0,0
274,2,3,3.49874,-19.19,35,0.5,0.501,150,0,0
275,2,3,4.37343,-18.685,35,0.5,0.501,150,0,0
276,2,3,5.24811,-18.18,35,0.5,0.501,150,0,0
277,2,3,6.1228,-17.675,35,0.5,0.501,150,0,0
278,2,3,6.99749,-17.17,35,0.5,0.501,150,0,0
279,2,3,7.87217,-16.665,35,0.5,0.501,150,0,0
280,2,3,8.74686,-16.16,35,0.5,0.501,150,0,0
281,2,3,9.62154,-15.655,35,0.5,0.501,150,0,0
282,2,3,10.4962,-15.15,35,0.5,0.501,150,0,0
283,2,3,11.3709,-14.645,35,0.5,0.501,150,0,0
284,2,3,12.2456,-14.14,35,0.5,0.501,150,0,0
285,2,3,13.1203,-13.635,35,0.5,0.501,150,0,0
286,2,3,13.995,-13.13,35,0.5,0.501,150,0,0
287,2,3,14.8697,-12.625,35,0.5,0.501,150,0,0
288,2,3,15.7443,-12.12,35,0.5,0.501,150,0,0
289,2,3,16.619,-11.615,35,0.5,0.501,150,0,0
290,2,3,17.4937,-11.11,35,0.5,0.501,150,0,0
291,2,3,18.3684,-10.605,35,0.5,0.501,150,0,0
292,2,4,18.3684,-9.595,35,0.5,0.501,150,0,0
293,2,4,18.3684,-8.585,35,0.5,0.501,150,0,0
294,2,4,18.3684,-7.575,35,0.5,0.501,150,0,0
295,2,4,18.3684,-6.565,35,0.5,0.501,150,0,0
296,2,4,18.3684,-5.555,35,0.5,0.501,150,0,0
297,2,4,18.3684,-4.545,35,0.5,0.501,150,0,0
